Product ID,Product Name,YouTube ID,YouTube URL,Issue Type,Product URL
470,Holger Foldable Wall Mounted Table with Storage (Honey Finish),bOtrkgIbFI88,https://www.youtube.com/watch?v=bOtrkgIbFI88,Video Not Working,https://www.woodenstreet.com/holger-wall-mounted-table-honey-finish
6062,Angelica Divan with Mattress (Honey Finish),vwEkV0I-LEw,https://www.youtube.com/watch?v=vwEkV0I-LEw,Missing Thumbnail,https://www.woodenstreet.com/angelica-divan-honey-finish
7342,Adolph 6 Seater Dining Table (Honey Finish),I_-ZEDaqJGY,https://www.youtube.com/watch?v=I_-ZEDaqJGY,Video Not Working,https://www.woodenstreet.com/adolph-dining-table-honey-finish
9676,Cambrey Study Table with Two Drawers and Cabinet (Honey Finish),52Kh-BnTjgU,https://www.youtube.com/watch?v=52Kh-BnTjgU,Missing Thumbnail,https://www.woodenstreet.com/cambrey-study-table-honey-finish
9679,Cambrey Study Table with Two Drawers and Cabinet (Walnut Finish),52Kh-BnTjgU,https://www.youtube.com/watch?v=52Kh-BnTjgU,Missing Thumbnail,https://www.woodenstreet.com/cambrey-study-table-walnut-finish
10863,Walken Bedside Table (Honey Finish),CjEHX_8P3HY,https://www.youtube.com/watch?v=CjEHX_8P3HY,Missing Thumbnail,https://www.woodenstreet.com/walken-bedside-table-honey-finish
12637,Feltro 1 Seater Wooden Sofa (Honey Irish Cream),RxTMLlxPjgE,https://www.youtube.com/watch?v=RxTMLlxPjgE,Missing Thumbnail,https://www.woodenstreet.com/feltro-1-seater-wooden-sofa-honey-finish
13143,Alkin Study Table with Keyboard Tray and Side Storage (Honey Finish),STUG8shm0hg,https://www.youtube.com/watch?v=STUG8shm0hg,Missing Thumbnail,https://www.woodenstreet.com/alkin-study-table-honey-finish
13146,Alkin Study Table with Keyboard Tray and Side Storage (Walnut Finish),STUG8shm0hg,https://www.youtube.com/watch?v=STUG8shm0hg,Missing Thumbnail,https://www.woodenstreet.com/alkin-study-table-walnut-finish
14621,"Orchid Arm Chair (Irish Cream, Rosy Leaf)",g6tYz1-GXrA,https://www.youtube.com/watch?v=g6tYz1-GXrA,Missing Thumbnail,https://www.woodenstreet.com/orchid-arm-chair-irish-cream-rosy-leaf
14717,Adoree Lounge Chair (Dusky Leaf),h30oqhe-DhE,https://www.youtube.com/watch?v=h30oqhe-DhE,Missing Thumbnail,https://www.woodenstreet.com/adoree-lounge-chair-dusky-leaf
16801,"Joan Lounge Chair (Cotton, Aqua Flower)",0U9X2wodiXc,https://www.youtube.com/watch?v=0U9X2wodiXc,Missing Thumbnail,https://www.woodenstreet.com/joan-lounge-chair-aqua-flower
16802,"Joan Lounge Chair (Cotton, Cream Blossom)",QePneeIqfrg,https://www.youtube.com/watch?v=QePneeIqfrg,Missing Thumbnail,https://www.woodenstreet.com/joan-lounge-chair-cream-blossom
17832,Jett Sheesham Wood Cabinet and Sideboard (Honey Finish),Kh5Y-L0hMmQ,https://www.youtube.com/watch?v=Kh5Y-L0hMmQ,Missing Thumbnail,https://www.woodenstreet.com/jett-sideboard
18516,Juniper Book Shelf (Honey Finish),qRA-S_4U_rk,https://www.youtube.com/watch?v=qRA-S_4U_rk,Missing Thumbnail,https://www.woodenstreet.com/juniper-book-shelf-honey
