Product ID,Product Name,YouTube ID,YouTube URL,Product URL
92454,"Dream Lux Memory Foam Mattress (6 inch, Queen Size, 75 X 60)",wtPmbn9pUl4,https://www.youtube.com/watch?v=wtPmbn9pUl4,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-6-inch-queen-size-75x60
92455,"Bamboo Bliss Latex Mattress (6 inch, Queen Size 75 X 60)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-6-inch-queen-size-75x60
92457,"Dream Lux Memory Foam Mattress (8 inch, Queen Size, 75 X 60)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-queen-size-75x60
92458,"Bamboo Bliss Latex Mattress (8 inch, Queen Size 75 X 60)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-8-inch-queen-size-75x60
92460,"Dream Lux Memory Foam Mattress (8 inch, Queen Size, 72 X 60)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-queen-size-72x60
92461,"Bamboo Bliss Latex Mattress (8 inch, Queen Size 72 X 60)",lzhoAuRCPE,https://www.youtube.com/watch?v=lzhoAuRCPE,https://www.woodenstreet.com/bamboo-bliss-latex-mattress-8-inch-queen-size-72x60
92463,"Dream Lux Memory Foam Mattress (6 inch, Queen Size, 78 X 66)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-6-inch-queen-size-78x66
92466,"Dream Lux Memory Foam Mattress (8 inch, Queen Size, 78 X 66)",5akZm_Iuupw,https://www.youtube.com/watch?v=5akZm_Iuupw,https://www.woodenstreet.com/dream-lux-memory-foam-mattress-8-inch-queen-size-78x66
92682,"Udaya Sheesham Wood Arm Chair (Green Stripe, Teak finish)",1R9iur6wBIQ,https://www.youtube.com/watch?v=1R9iur6wBIQ,https://www.woodenstreet.com/udaya-sheesham-wood-arm-chair-green-stripe-teak-finish
92868,Kalam Modern Designer Sheesham Wood Study Table with Cane Accents &amp; Drawer Storage (Teak Finish),A02yK4j_wXM,https://www.youtube.com/watch?v=A02yK4j_wXM,https://www.woodenstreet.com/kalam-sheesham-wood-study-table-with-cane-accent-drawers-and-cabinet-teak-finish
92971,Ashion Premium Right Aligned L Shape Sofa with Built-in Side Wooden Deck (Sage Green),xWZVJxC29Mo,https://www.youtube.com/watch?v=xWZVJxC29Mo,https://www.woodenstreet.com/ashion-premium-right-aligned-l-shape-sofa-with-built-in-side-wooden-deck-green-upholstery
92972,Ashion Premium Right Aligned L Shape Sofa with Built-in Side Wooden Deck (Cottage Ivory),xWZVJxC29Mo,https://www.youtube.com/watch?v=xWZVJxC29Mo,https://www.woodenstreet.com/ashion-premium-right-aligned-l-shape-sofa-with-built-in-side-wooden-deck-beige-upholstery
93050,"Virasat Sheesham Wood Sofa Bench With Cushioned Seat (Teak Finish, Blue Stripe)",qFFi0a4yhmg,https://www.youtube.com/watch?v=qFFi0a4yhmg,https://www.woodenstreet.com/virasat-sheesham-wood-sofa-bench-with-cushioned-seat-teak-finish-blue-stripes
93495,"Balikos Sheesham Wood Bed with Drawer Storage and Cane Detailing (Queen Size, Teak Finish)",GIdQQOTO_Gg,https://www.youtube.com/watch?v=GIdQQOTO_Gg,https://www.woodenstreet.com/balikos-sheesham-wood-bed-with-4-drawer-storage-and-cane-detailing-queen-size-teak-finish
