Information Pages Names,Information Pages Links,Information Pages ID's,Desktop old name,Desktop New name,Mobile old name,Mobile New name,Desktop Size,Mobile Size,"BAU
Starting From Price",Starting Price in Category,
Home Side Banner 2,https://www.woodenstreet.com/,,recliner-banner,home_hero_3.jpg,,home_hero_3.jpg,800x400,800x400,,,
Store Banner,https://www.woodenstreet.com/,,discount-strip-1,store_strip_middle.jpg,discount-strip-m-1.jpg,store_strip_middle-m.jpg,1400x164,400x200,,,
Category Mid sale strip,https://www.woodenstreet.com/6-seater-dining-table-sets,,strip-furniture,offer_strip.jpg,mobile-mid-banner,offer_strip-m.jpg,1400x158,767x210,,,
Login Popup Banner,https://www.woodenstreet.com/,,login-bg2,login.jpg,login-m,login-m.jpg,720x1032,660x276,,,
Category Top Sale strip,https://www.woodenstreet.com/6-seater-dining-table-sets,,sale-mid-banner,category_top.jpg,sale-m-banner,category_top-m.jpg,1915x68,720x73,,,
Sale Page Banner,https://www.woodenstreet.com/new-year-sale,,offer-banner,,offer-banner-m,,1400x456,416x255,,,
Store Location Pages,https://www.woodenstreet.com/furniture-in-guwahati,Store Location Pages,-,furniture_in.jpg,,furniture_in-m.jpg,1400x450,700X500,,,
,,,,,,,,,,,
Home Page Banners,,,,,,,,,,,
1,https://www.woodenstreet.com/,-,main-banner,1,main-banner,1,900x500,900x500,,,
2,https://www.woodenstreet.com/,-,all-beds,2,all-beds,2,900x500,900x500,,,
3,https://www.woodenstreet.com/,-,veda-collection,3,veda-collection,3,900x500,900x500,,,
4,https://www.woodenstreet.com/,-,sofacumbeds,4,sofacumbeds,4,900x500,900x500,,,
5,https://www.woodenstreet.com/,-,6-seater-dining-table-sets,5,6-seater-dining-table-sets,5,900x500,900x500,,,
6,https://www.woodenstreet.com/,-,coffee-tables,6,coffee-tables,6,900x500,900x500,,,
7,https://www.woodenstreet.com/,-,lounge-chairs,7,lounge-chairs,7,900x500,900x500,,,
8,https://www.woodenstreet.com/,-,all-study-tables,8,all-study-tables,8,900x500,900x500,,,
9,https://www.woodenstreet.com/,-,outdoor-furniture,9,outdoor-furniture,9,900x500,900x500,,,
